entity_id	entity_name	homologous_taxon_name	property_id	property_name	target_entity_id	target_entity_name	taxon_id	taxon_name
UBERON_0001532	internal carotid artery	Vertebrata	RO_0002202	develops_from	UBERON_0003120	pharyngeal arch artery 3	NCBITaxon_9606	Homo sapiens
UBERON_0001532	internal carotid artery	Vertebrata	RO_0002202	develops_from	UBERON_0005805	dorsal aorta	NCBITaxon_8353	Xenopus <genus>
UBERON_0002016	pulmonary vein	Sarcopterygii	RO_0002202	develops_from	EHDAA2_0004526	body venous capillary plexus (human)	NCBITaxon_9606	Homo sapiens
UBERON_0002016	pulmonary vein	Sarcopterygii	RO_0002202	develops_from	UBERON_0001919	endothelium of vein	NCBITaxon_8353	Xenopus <genus>
UBERON_0001281	hepatic sinusoid	Vertebrata	RO_0002202	develops_from	UBERON_0002107	liver	NCBITaxon_9606	Homo sapiens
UBERON_0001281	hepatic sinusoid	Vertebrata	RO_0002202	develops_from	UBERON_0011944	subintestinal vein	NCBITaxon_7954	Danio
UBERON_0000930	stomodeum	Bilateria	RO_0002202	develops_from	FBbt_00005252	stomodeal invagination late (Drosophila)	NCBITaxon_7227	Drosophila melanogaster
UBERON_0000930	stomodeum	Bilateria	RO_0002202	develops_from	XAO_0000032	stomodeal-hypophyseal primordium (Xenopus)	NCBITaxon_8353	Xenopus <genus>
UBERON_0003098	optic stalk	Vertebrata	RO_0002202	develops_from	UBERON_2007031	anterior neural rod	NCBITaxon_7954	Danio
UBERON_0003098	optic stalk	Vertebrata	RO_0002202	develops_from	EHDAA2_0004111	optic vesicle proximal part (human)	NCBITaxon_9606	Homo sapiens
UBERON_0003091	thyroid primordium	Chordata	RO_0002202	develops_from	UBERON_0001731	cavity of pharynx	NCBITaxon_8353	Xenopus <genus>
UBERON_0003091	thyroid primordium	Chordata	RO_0002202	develops_from	UBERON_0005665	3rd arch endoderm	NCBITaxon_9606	Homo sapiens
UBERON_0003050	olfactory placode	Craniata	RO_0002202	develops_from	UBERON_0002025	stratum basale of epidermis	NCBITaxon_8353	Xenopus <genus>
UBERON_0003050	olfactory placode	Craniata	RO_0002202	develops_from	UBERON_0000076	external ectoderm	NCBITaxon_9606	Homo sapiens
UBERON_0003050	olfactory placode	Craniata	RO_0002202	develops_from	UBERON_2007062	olfactory field	NCBITaxon_7954	Danio
UBERON_0003050	olfactory placode	Craniata	RO_0002202	develops_from	XAO_0004209	anterior neural ridge (Xenopus)	NCBITaxon_8353	Xenopus <genus>
UBERON_0002108	small intestine	Tetrapoda	RO_0002202	develops_from	ZFA_0005737	intestinal rod (Danio)	NCBITaxon_7954	Danio
UBERON_0002108	small intestine	Tetrapoda	RO_0002202	develops_from	UBERON_0001045	midgut	NCBITaxon_8353	Xenopus <genus>
UBERON_0002037	cerebellum	Gnathostomata	RO_0002202	develops_from	UBERON_0009841	upper rhombic lip	NCBITaxon_7954	Danio
UBERON_0002037	cerebellum	Gnathostomata	RO_0002202	develops_from	UBERON_0009841	upper rhombic lip	NCBITaxon_9606	Homo sapiens
UBERON_0002037	cerebellum	Gnathostomata	RO_0002202	develops_from	EHDAA2_0004393	early isthmus cerebellar primordium (human)	NCBITaxon_9606	Homo sapiens
UBERON_0001143	hepatic vein	Vertebrata	RO_0002202	develops_from	UBERON_0005487	vitelline vein	NCBITaxon_40674	Mammalia
UBERON_0001143	hepatic vein	Vertebrata	RO_0002202	develops_from	UBERON_0001919	endothelium of vein	NCBITaxon_8353	Xenopus <genus>
UBERON_0002352	atrioventricular node	Vertebrata	RO_0002202	develops_from	EHDAA2_0004166	atrioventricular region heart muscle (human)	NCBITaxon_9606	Homo sapiens
UBERON_0002352	atrioventricular node	Vertebrata	RO_0002202	develops_from	UBERON_2005073	atrioventricular ring	NCBITaxon_7954	Danio
UBERON_0001132	parathyroid gland	Tetrapoda	RO_0002202	develops_from	UBERON_0003092	ultimobranchial body	NCBITaxon_8353	Xenopus <genus>
UBERON_0001132	parathyroid gland	Tetrapoda	RO_0002202	develops_from	UBERON_0007123	pharyngeal pouch 2	NCBITaxon_8353	Xenopus <genus>
UBERON_0001132	parathyroid gland	Tetrapoda	RO_0002202	develops_from	UBERON_0007125	pharyngeal pouch 4	NCBITaxon_9030	Gallus
UBERON_0001132	parathyroid gland	Tetrapoda	RO_0002202	develops_from	UBERON_0007125	pharyngeal pouch 4	NCBITaxon_9606	Homo sapiens
UBERON_0001132	parathyroid gland	Tetrapoda	RO_0002202	develops_from	UBERON_0007124	pharyngeal pouch 3	NCBITaxon_10090	Mus musculus
UBERON_0001132	parathyroid gland	Tetrapoda	RO_0002202	develops_from	UBERON_0003114	pharyngeal arch 3	NCBITaxon_8353	Xenopus <genus>
UBERON_0000925	endoderm	Eumetazoa	RO_0002202	develops_from	UBERON_0005439	definitive endoderm	NCBITaxon_9606	Homo sapiens
UBERON_0000925	endoderm	Eumetazoa	RO_0002202	develops_from	FBbt_00005435	endoderm anlage (Drosophila)	NCBITaxon_7227	Drosophila melanogaster
UBERON_0001701	glossopharyngeal ganglion	Vertebrata	RO_0002202	develops_from	UBERON_0005491	glossopharyngeal neural crest	NCBITaxon_9606	Homo sapiens
